"id","num_scars","num_tattoos","num_other_marks"
"A82579",1,0,0
"A82580",0,5,0
"A82598",2,0,0
"A82609",0,0,1
"A82642",0,1,0
"A82721",0,0,1
"A82768",1,0,0
"A82771",1,4,0
"A82774",0,5,0
"A82791",0,1,0
"A82847",2,2,0
"A82875",0,0,1
"A82899",1,0,0
"A82902",1,0,0
"A82903",0,5,0
"A82914",0,1,0
"A82944",0,1,0
"A82951",0,0,1
"A82968",1,4,0
"A82978",0,1,0
"A82981",0,2,0
"A82994",1,2,0
"A83003",0,1,1
"A83031",1,4,0
"A83037",0,5,0
"A83069",0,0,1
"A83084",1,3,0
"A83094",2,0,0
"A83101",1,3,0
"A83118",1,3,0
"A83163",0,3,0
"A83165",1,0,0
"A83166",0,3,0
"A83208",1,1,0
"A83241",1,4,0
"A83281",1,0,0
"A83283",0,0,1
"A83284",4,0,0
"A83293",1,0,0
"A83302",1,0,0
"A83338",0,0,1
"A83344",1,4,0
"A83405",1,0,2
"A83427",1,0,0
"A83437",0,0,1
"A83508",0,4,0
"A83550",1,2,0
"A83581",1,3,0
"A83608",0,3,0
"A83613",0,4,0
"A83622",0,0,2
"A83630",0,0,1
"A83664",0,2,0
"A83673",0,1,0
"A83711",1,0,0
"A83722",0,5,0
"A83746",2,3,0
"A83748",1,1,0
"A83808",1,3,0
"A83817",0,1,0
"A83822",0,1,0
"A83855",0,0,1
"A83856",0,4,0
"A83907",3,2,0
"A83913",0,2,0
"A83946",1,3,1
"A85068",0,3,0
"A86028",0,5,0
"A86063",3,0,0
"A86071",2,1,0
"A86099",1,0,0
"A86226",0,5,0
"A86258",0,3,0
"A86277",0,0,1
"A87092",1,3,1
"A87116",1,2,1
"A87167",4,0,1
"A87634",1,2,0
"A87730",0,4,1
"A87828",3,0,0
"A87851",3,2,0
"A87924",0,3,0
"A87981",0,5,0
"A87996",0,5,0
"A88000",0,5,0
"A88018",0,3,0
"A88072",0,0,1
"A88090",0,1,0
"A88099",2,3,0
"A88114",0,1,0
"A88180",1,0,0
"A88255",3,0,0
"A88425",3,0,0
"A88447",0,0,1
"A88460",2,0,0
"A90087",0,5,0
"A90145",2,0,0
"A90171",0,5,0
"A90185",0,5,0
"A90240",0,0,1
"A90268",0,0,1
"A90315",0,5,0
"A90333",0,2,0
"A90344",1,0,0
"A90392",1,1,0
"A90409",0,5,0
"A90420",0,0,1
"A90478",1,2,0
"A90485",1,0,0
"A90506",4,1,0
"A90510",0,1,0
"A90513",0,2,0
"A90532",0,0,1
"A90577",1,0,0
"A90592",1,1,0
"A90608",2,3,0
"A90663",0,2,0
"A90706",1,0,1
"A90720",2,2,0
"A90733",0,1,0
"A90770",1,4,0
"A90846",1,0,2
"A90860",1,2,2
"A90868",2,3,0
"A90881",0,2,0
"A90903",0,1,0
"A90911",1,1,0
"A90937",2,3,0
"A90949",3,2,0
"A90976",0,0,1
"A90986",3,2,0
"A91016",0,0,1
"A91040",2,3,0
"A91041",1,2,0
"A91082",0,0,1
"A91177",3,0,0
"A91213",1,2,0
"A91250",1,2,0
"A91256",0,0,1
"A91307",0,2,0
"A91362",2,2,0
"A91375",1,0,0
"A91381",1,2,0
"A91399",1,0,0
"A91433",2,0,0
"A91437",2,0,0
"A91478",0,5,0
"A91487",3,0,2
"A91495",1,2,0
"A91509",0,2,0
"A91518",2,1,1
"A91584",0,3,0
"A91609",1,1,0
"A91619",1,0,0
"A91687",0,1,0
"A91717",1,0,1
"A91769",1,2,0
"A91775",0,2,0
"A91779",2,3,0
"A91784",0,0,1
"A91791",3,2,0
"A91793",0,5,0
"A91814",0,2,0
"A91815",0,1,0
"A91837",0,1,0
"A91846",3,0,1
"A91848",0,5,0
"A91885",1,4,0
"A91970",0,0,1
"A91992",2,3,0
"A91993",0,4,0
"A92021",1,4,0
"A92033",0,4,0
"A92080",0,0,1
"A92120",0,5,0
"A92127",0,0,1
"A92146",3,0,0
"A92178",1,2,0
"A92207",1,0,0
"A92240",0,4,0
"A92275",1,3,0
"A92280",0,4,0
"A92299",2,3,0
"A92318",1,2,0
"A92381",2,0,0
"A92410",1,2,0
"A92424",1,3,1
"A92426",1,0,0
"A92428",0,4,0
"A92472",0,5,0
"A92474",1,0,0
"A92482",2,2,1
"A92551",0,1,0
"A92579",0,4,0
"A92623",0,5,0
"A92661",0,0,1
"A92662",1,3,1
"A92750",1,2,0
"A92800",0,3,0
"A92816",1,4,0
"A92828",1,0,0
"A92877",1,4,0
"A92888",0,1,0
"A92903",0,3,0
"A92929",0,4,0
"A92942",0,2,0
"A92945",1,2,1
"A92974",0,3,1
"A93015",0,5,0
"A93033",2,2,0
"A93039",1,1,0
"A93053",0,3,0
"A93067",1,4,0
"A93071",0,5,0
"A93080",1,0,1
"A93094",1,3,0
"A93108",0,0,1
"A93136",2,0,0
"A93184",1,1,1
"A93199",0,5,0
"A93211",0,2,0
"A93232",0,5,0
"A93248",0,5,0
"A93251",0,5,0
"A93266",1,2,0
